"Kod","Nazwa","NoweMiejscaPracy","ZlikwidowaneMiejscaPracy"
0200000,"DOLNOŚLĄSKIE",47.6,17.6
0400000,"KUJAWSKO-POMORSKIE",31.2,13.0
0600000,"LUBELSKIE",28.2,13.2
0800000,"LUBUSKIE",11.2,6.8
1000000,"ŁÓDZKIE",39.5,17.4
1200000,"MAŁOPOLSKIE",68.9,21.8
1400000,"MAZOWIECKIE",151.7,55.9
1600000,"OPOLSKIE",14.0,5.3
1800000,"PODKARPACKIE",30.5,14.3
2000000,"PODLASKIE",11.6,4.7
2200000,"POMORSKIE",43.5,19.1
2400000,"ŚLĄSKIE",96.1,46.9
2600000,"ŚWIĘTOKRZYSKIE",18.5,8.8
2800000,"WARMIŃSKO-MAZURSKIE",16.8,11.2
3000000,"WIELKOPOLSKIE",79.4,28.2
3200000,"ZACHODNIOPOMORSKIE",29.1,16.3
